Character,Unicode_Decimal,Unicode_Hex,Name,Category
ࡠ,2144,U+0860,SYRIAC LETTER MALAYALAM NGA,Lo
ࡡ,2145,U+0861,SYRIAC LETTER MALAYALAM JA,Lo
ࡢ,2146,U+0862,SYRIAC LETTER MALAYALAM NYA,Lo
ࡣ,2147,U+0863,SYRIAC LETTER MALAYALAM TTA,Lo
ࡤ,2148,U+0864,SYRIAC LETTER MALAYALAM NNA,Lo
ࡥ,2149,U+0865,SYRIAC LETTER MALAYALAM NNNA,Lo
ࡦ,2150,U+0866,SYRIAC LETTER MALAYALAM BHA,Lo
ࡧ,2151,U+0867,SYRIAC LETTER MALAYALAM RA,Lo
ࡨ,2152,U+0868,SYRIAC LETTER MALAYALAM LLA,Lo
ࡩ,2153,U+0869,SYRIAC LETTER MALAYALAM LLLA,Lo
ࡪ,2154,U+086A,SYRIAC LETTER MALAYALAM SSA,Lo
ഀ,3328,U+0D00,MALAYALAM SIGN COMBINING ANUSVARA ABOVE,Mn
ഁ,3329,U+0D01,MALAYALAM SIGN CANDRABINDU,Mn
ം,3330,U+0D02,MALAYALAM SIGN ANUSVARA,Mc
ഃ,3331,U+0D03,MALAYALAM SIGN VISARGA,Mc
ഄ,3332,U+0D04,MALAYALAM LETTER VEDIC ANUSVARA,Lo
അ,3333,U+0D05,MALAYALAM LETTER A,Lo
ആ,3334,U+0D06,MALAYALAM LETTER AA,Lo
ഇ,3335,U+0D07,MALAYALAM LETTER I,Lo
ഈ,3336,U+0D08,MALAYALAM LETTER II,Lo
ഉ,3337,U+0D09,MALAYALAM LETTER U,Lo
ഊ,3338,U+0D0A,MALAYALAM LETTER UU,Lo
ഋ,3339,U+0D0B,MALAYALAM LETTER VOCALIC R,Lo
ഌ,3340,U+0D0C,MALAYALAM LETTER VOCALIC L,Lo
എ,3342,U+0D0E,MALAYALAM LETTER E,Lo
ഏ,3343,U+0D0F,MALAYALAM LETTER EE,Lo
ഐ,3344,U+0D10,MALAYALAM LETTER AI,Lo
ഒ,3346,U+0D12,MALAYALAM LETTER O,Lo
ഓ,3347,U+0D13,MALAYALAM LETTER OO,Lo
ഔ,3348,U+0D14,MALAYALAM LETTER AU,Lo
ക,3349,U+0D15,MALAYALAM LETTER KA,Lo
ഖ,3350,U+0D16,MALAYALAM LETTER KHA,Lo
ഗ,3351,U+0D17,MALAYALAM LETTER GA,Lo
ഘ,3352,U+0D18,MALAYALAM LETTER GHA,Lo
ങ,3353,U+0D19,MALAYALAM LETTER NGA,Lo
ച,3354,U+0D1A,MALAYALAM LETTER CA,Lo
ഛ,3355,U+0D1B,MALAYALAM LETTER CHA,Lo
ജ,3356,U+0D1C,MALAYALAM LETTER JA,Lo
ഝ,3357,U+0D1D,MALAYALAM LETTER JHA,Lo
ഞ,3358,U+0D1E,MALAYALAM LETTER NYA,Lo
ട,3359,U+0D1F,MALAYALAM LETTER TTA,Lo
ഠ,3360,U+0D20,MALAYALAM LETTER TTHA,Lo
ഡ,3361,U+0D21,MALAYALAM LETTER DDA,Lo
ഢ,3362,U+0D22,MALAYALAM LETTER DDHA,Lo
ണ,3363,U+0D23,MALAYALAM LETTER NNA,Lo
ത,3364,U+0D24,MALAYALAM LETTER TA,Lo
ഥ,3365,U+0D25,MALAYALAM LETTER THA,Lo
ദ,3366,U+0D26,MALAYALAM LETTER DA,Lo
ധ,3367,U+0D27,MALAYALAM LETTER DHA,Lo
ന,3368,U+0D28,MALAYALAM LETTER NA,Lo
ഩ,3369,U+0D29,MALAYALAM LETTER NNNA,Lo
പ,3370,U+0D2A,MALAYALAM LETTER PA,Lo
ഫ,3371,U+0D2B,MALAYALAM LETTER PHA,Lo
ബ,3372,U+0D2C,MALAYALAM LETTER BA,Lo
ഭ,3373,U+0D2D,MALAYALAM LETTER BHA,Lo
മ,3374,U+0D2E,MALAYALAM LETTER MA,Lo
യ,3375,U+0D2F,MALAYALAM LETTER YA,Lo
ര,3376,U+0D30,MALAYALAM LETTER RA,Lo
റ,3377,U+0D31,MALAYALAM LETTER RRA,Lo
ല,3378,U+0D32,MALAYALAM LETTER LA,Lo
ള,3379,U+0D33,MALAYALAM LETTER LLA,Lo
ഴ,3380,U+0D34,MALAYALAM LETTER LLLA,Lo
വ,3381,U+0D35,MALAYALAM LETTER VA,Lo
ശ,3382,U+0D36,MALAYALAM LETTER SHA,Lo
ഷ,3383,U+0D37,MALAYALAM LETTER SSA,Lo
സ,3384,U+0D38,MALAYALAM LETTER SA,Lo
ഹ,3385,U+0D39,MALAYALAM LETTER HA,Lo
ഺ,3386,U+0D3A,MALAYALAM LETTER TTTA,Lo
഻,3387,U+0D3B,MALAYALAM SIGN VERTICAL BAR VIRAMA,Mn
